Moves
rnbqkbnrpppppppp....................P...........PPPP.PPPRNBQKBNR
rnbqkbnr.pppppppp...................P...........PPPP.PPPRNBQKBNR
rnbqkbnr.pppppppp.................B.P...........PPPP.PPPRNBQK.NR
