Moves
rnbqkbnrpppppppp....................P...........PPPP.PPPRNBQKBNR
rnbqkbnrpppppppp....................P...........PPPP.PPPRNBQKBNR
"['r', 'n', 'b', 'q', 'k', 'b', 'n', 'r', 'p', 'p', 'p', 'p', 'p', '.', 'p', 'p', '.', '.', '.', '.', '.', 'p', '.', '.', '.', '.', '.', '.', '.', '.', '.', '.', '.', '.', '.', '.', 'P', '.', '.', '.', '.', '.', '.', '.', '.', '.', '.', '.', 'P', 'P', 'P', 'P', '.', 'P', 'P', 'P', 'R', 'N', 'B', 'Q', 'K', 'B', 'N', 'R']"
rnbqkbnrppppp.pp.....p............B.P...........PPPP.PPPRNBQK.NR
rnbqkbnrpppppppp....................P...........PPPP.PPPRNBQKBNR
rnbqkbnrpppppppp....................P...........PPPP.PPPRNBQKBNR
"['r', 'n', 'b', 'q', 'k', 'b', 'n', 'r', 'p', 'p', 'p', 'p', 'p', '.', 'p', 'p', '.', '.', '.', '.', '.', 'p', '.', '.', '.', '.', '.', '.', '.', '.', '.', '.', '.', '.', '.', '.', 'P', '.', '.', '.', '.', '.', '.', '.', '.', '.', '.', '.', 'P', 'P', 'P', 'P', '.', 'P', 'P', 'P', 'R', 'N', 'B', 'Q', 'K', 'B', 'N', 'R']"
rnbqkbnrppppp.pp.....p............B.P...........PPPP.PPPRNBQK.NR
"['r', 'n', 'b', 'q', 'k', 'b', 'n', 'r', 'p', 'p', 'p', 'p', '.', '.', 'p', 'p', '.', '.', '.', '.', '.', 'p', '.', '.', '.', '.', '.', '.', 'p', '.', '.', '.', '.', '.', 'B', '.', 'P', '.', '.', '.', '.', '.', '.', '.', '.', '.', '.', '.', 'P', 'P', 'P', 'P', '.', 'P', 'P', 'P', 'R', 'N', 'B', 'Q', 'K', '.', 'N', 'R']"
