Moves
rnbqkbnrpppppppp....................P...........PPPP.PPPRNBQKBNR
rnbqkbnr.pppppppp...................P...........PPPP.PPPRNBQKBNR
rnbqkbnr.pppppppp.................B.P...........PPPP.PPPRNBQK.NR
rnbqkbnr.ppppppp........p.........B.P...........PPPP.PPPRNBQK.NR
rnbqkbnr.ppppppp........p......Q..B.P...........PPPP.PPPRNB.K.NR
rnbqkbnr.ppppppp...............Qp.B.P...........PPPP.PPPRNB.K.NR
rnbqkbnr.ppppQpp................p.B.P...........PPPP.PPPRNB.K.NR
