Moves
rnbqkbnrpppppppp....................P...........PPPP.PPPRNBQKBNR
rnbqkbnr.ppppppp........p...........P...........PPPP.PPPRNBQKBNR
rnbqkbnr.ppppppp........p.........B.P...........PPPP.PPPRNBQK.NR
rnbqkbnr..pppppp........pp........B.P...........PPPP.PPPRNBQK.NR
rnbqkbnr..pppppp........pp.....Q..B.P...........PPPP.PPPRNB.K.NR
rnbqkbnr...ppppp........ppp....Q..B.P...........PPPP.PPPRNB.K.NR
rnbqkbnr...ppQpp........ppp.......B.P...........PPPP.PPPRNB.K.NR
